Modulation_Type,Bandwidth,Symbol_Rate,PAPR,Mod_Index,Spectral_Entropy,Freq_Variance,Phase
8PSK,19.972485058923855,3.601756619633539,1.3418085932529613,1.0368869473545328,4.109564333979897,1.2026790232288613,225.0
8PSK,17.786464642366113,4.816531771933308,1.2874742688003669,1.144894872091223,3.989452760277563,1.6856504541106005,315.0
8PSK,21.721355474058786,4.523239230657435,1.2851650527908798,1.7282163486118596,3.867783132719253,1.3323058305935795,225.0
QPSK,15.357746840747584,2.1805795401088166,1.835302495589238,1.3207800649717358,3.1865185103998543,0.5407751415547639,270.0
QAM,20.165878289278563,5.024186116598562,2.905983100791752,1.64517279040945,4.348732858009983,0.7836564166717261,139.22472466819346
FM,18.37710105907328,3.3513802340785617,2.602824178861158,2.6272148622131413,4.082895947655132,2.391568798690164,19.142000871891987
OFDM,40.33271782542029,7.043316699321636,9.985014799031697,1.9654193512887936,6.116586907214195,1.8239545147840095,67.93455900289658
OFDM,36.98419149225322,8.903822715480958,9.58844103981031,1.8870864242651173,6.559751091715247,1.4630474692314317,30.29038739821758
FSK,12.853406511139436,2.837976509428457,2.371029932154682,2.7445655331234864,3.9102001636866675,2.4657629877819125,12.098024368436644
FM,14.856137535862267,2.896848285972495,2.991686193916231,2.5277757580320364,3.0361507272310417,1.9877874303668692,17.152908368853154
FSK,11.496328990472147,3.198446820988356,2.4864193384505153,3.1366172066709432,2.6405121517421386,1.6780305439772636,11.630059192043136
QPSK,19.78892858275009,2.97348430591891,1.906098787718554,1.4343943655104288,3.3500784076946757,1.1451033620305648,180.0
AM,3.5857289633941334,2.4449042305230106,1.2807723624408558,0.2194527731451631,3.290944591814336,0.17084427176281958,9.404585843529143
BPSK,9.184458155863812,1.747718773897414,1.4765359235119766,0.8307503046705137,2.829147450253235,0.543375481502503,180.0
AM,3.226038768018385,1.6113940385743637,1.1909110311503461,0.41477988551212547,2.970559748552631,0.24907474683761974,3.9469146680947222
QPSK,16.960297966749728,3.14012234017873,1.0971764937707684,1.6150072266991697,3.990053850104263,0.640084015236524,180.0
FM,13.225507642386006,3.697339589849349,1.7049319971630432,4.126732990730356,4.105639953815816,1.593020287295597,26.79123425785106
FM,18.670723185801037,3.8264811051129426,2.2670135982914066,3.504548884061599,4.59659035793355,2.2999278615555303,38.07867509030814
PM,8.379951568515358,2.43895738159986,1.1409729097613035,2.156560281992348,3.053913410695113,0.9655980181324602,62.5586780824546
QPSK,15.908332605690108,2.061000499878099,1.0373481887492144,1.8226005606596583,3.360190641411263,0.6270605126518848,0.0
FSK,12.699935530986108,1.9316420549936864,2.4343357137285,2.170694929987536,2.5775225817529117,1.8907610210385923,18.515878040252662
8PSK,16.383530924178014,3.2654908444859396,2.163444240536991,1.714595104179952,3.5410675167678756,1.0988209014447945,90.0
8PSK,17.508605273466614,3.36866734866274,1.0970475599406373,1.4283144749401078,4.1884999007653665,0.7581935955084436,45.0
AM,4.327056689193313,1.4795747183148065,1.0938732900812917,0.34629279768584587,3.8692279946794192,0.3553082375373402,5.166962574265667
BPSK,7.282045223640465,1.41960006242779,1.1238654947505786,0.8559726786512616,3.1367691656965535,0.20863609317785353,180.0
BPSK,3.6590989178799207,1.3114133093912943,1.4897552643107543,0.6753302698893385,2.0257416527476253,0.6580186538023467,0.0
8PSK,18.463043210894007,3.929347625879223,1.7797284191713163,1.0480589241970337,4.449145731591386,1.5866803872980475,135.0
PM,10.031362585800878,3.6412246029708055,1.9880404474284175,1.3258688541628594,3.105853121100645,1.1424192782063156,31.59067863249731
QAM,25.754741778758792,4.776339852413043,4.573152873769413,1.4582528904915166,5.09123357863187,0.9590253661435675,138.99694960827873
AM,4.954454315573364,1.4133687197534908,1.2739611273211338,0.37167129576669933,2.7545181664559517,0.11558525292409345,6.182538843378929
8PSK,15.71188648460229,3.6379512605875224,2.0138503731633457,1.023271935735826,4.314468482588936,0.9818547747733999,135.0
BPSK,5.438356231172381,1.9366481518557073,1.0195931633378232,0.9179460317155788,3.451370827280371,0.5287831299488525,0.0
OFDM,41.37040567499916,8.303698301032338,8.926591021198561,1.1276897294224657,5.5000328984322095,1.3708160185158649,312.16197859549993
BPSK,4.670178018532381,1.6798447799002458,1.3699543802236873,0.7382361524039794,2.5665933292644425,0.5205964841183381,180.0
OFDM,36.400992020612236,9.582092913984802,7.556806714936652,1.0108376514802984,6.810763952838528,0.6369300151792003,114.95290953254936
QAM,25.73437888123286,5.263674424339598,3.793782087913279,1.2932107716980645,4.657329090739832,0.7707629192539269,270.8548305975648
8PSK,22.812960504712024,3.226929204034896,2.117114926824751,1.9742482085344102,4.495931242030329,0.75587115467735,90.0
8PSK,20.45915770164989,4.411662967757389,2.1623823327689617,1.688030010175039,4.336963874237374,1.5668687053108412,225.0
8PSK,19.26091475046941,3.445152835142061,1.4759819223451023,1.8918969087767765,3.6466048216920255,1.2133261686923928,225.0
PM,10.813054172267822,3.6578463049725096,2.320539952957625,1.4733703873641575,4.361540559522819,1.0918887388212843,51.01309480201881
PM,12.771469159274368,2.8960106243395125,1.6363330138704644,2.812708770189472,3.166796223459227,0.9926251042908592,30.681218686045145
QAM,21.18817916268072,4.2350524935542095,4.596841208464254,1.7460448792654233,5.166737530194319,0.9735207839321793,134.95340862853345
AM,3.2486739650800627,2.0567402425944183,1.436335831606556,0.8416873992213874,3.9558013375085417,0.32240201545703384,3.2268638827758367
QPSK,19.24643330223596,3.838231430557319,1.2529901679892412,1.6954111231066475,3.0754345470897695,0.6662154319092529,0.0
AM,4.88267424025219,2.1686286238462005,1.901158010490989,0.2363571042731663,2.5619263791844604,0.48016459363062347,8.902637838909163
FSK,11.201325978015367,2.054762365962265,1.782181739585642,2.9273968098799643,3.0300283420390794,1.9587529454061336,6.94336592412462
OFDM,35.19899725708525,7.812963387315325,6.129263804438602,1.2797635071689457,5.822413441744373,1.4041728230349477,97.54475130544675
PM,13.22537242923169,3.87449978322981,2.08857926258254,2.2268303918715797,3.6273645544359283,1.4327284833540133,81.9638333700245
BPSK,3.184568821480764,1.3764633668780495,1.4052766653909163,1.4872761293149446,2.225625336655292,0.5564784292112812,0.0
OFDM,49.398287956292066,9.368475692542834,9.353314818844552,1.4686931597949702,5.829639004675331,0.9101106078960594,20.29517879433376
QPSK,16.91714397168912,3.068692550058926,1.7499107494699717,1.9131657522576428,3.585149532325472,1.226120844071848,90.0
PM,7.473481017431976,2.6263603382752336,1.1937391227272425,2.9081020545174447,3.90926195167632,0.7286428055034627,70.30204106435141
FM,13.581627180328404,2.227115184399258,2.5073597933891993,3.5609231027113797,4.544636783471279,2.0403270022239868,44.0872600127416
QPSK,19.67973765439823,2.1768164467312934,1.791817839469633,1.589955897137636,3.480045967018475,0.9205357786650751,0.0
BPSK,7.4755294988196965,1.8050446675193619,1.4515755293383132,1.1172637120972921,3.4706940876385666,0.5648527097251312,180.0
PM,14.041586944937483,2.370638667558251,1.7709842337397161,2.567306025482286,3.5948141734819052,1.1220867002278734,81.74182252480472
BPSK,8.57530242971714,1.4593468079461724,1.4210457075093548,1.2689177413153976,2.099353966777799,0.22751675984277978,180.0
BPSK,5.431893857577899,1.2091307910785143,1.2898249672358693,0.841563210456545,2.805895125071105,0.47607149539014326,180.0
QPSK,16.97667573696932,2.360134544698597,1.696501466227079,1.4116612143575282,3.8743176048544172,1.0152360548642108,270.0
FM,16.019353955409603,2.447698131812641,2.732685955266674,3.0352478834671603,3.695238428965367,1.0636093629703303,31.948612368296345
BPSK,6.22545137622908,1.2063337184057925,1.1821349305240378,1.003417270854857,3.035592242944048,0.22358728390465937,0.0
OFDM,43.75569434192166,8.046628054189044,6.627910730864775,1.3772859652420726,5.005190048767293,1.8024516605533802,30.426122765045495
PM,6.845210193563773,2.0233733083417755,1.555708154187073,1.9690459703820427,3.927382157295444,0.8689136395697724,57.75208296798887
FSK,6.331169285874783,2.874331010806662,2.766661008950443,3.499232464017175,2.5457082291003914,2.32737947539714,13.853666769828136
PM,7.424705036347296,2.1731080773734526,1.565926244656934,1.0401423955554527,3.4831187483747676,0.7114480069965446,49.64984113067488
OFDM,47.8105456147979,8.374369814216195,8.71640927657796,1.7891712386073384,5.996884397858114,0.6303804321311355,193.3583550546772
FM,15.577422659504375,3.173070869321518,2.346687813783962,3.136317877853868,3.674893667743836,2.7992947942900246,34.302208891742914
FSK,9.982476978489402,2.160696962561828,2.900537735639812,2.0150687262681495,2.8379991965687923,1.6749638655762749,17.195245020218447
FSK,13.967654246264251,1.6604674913232844,2.286767084355382,2.8207936539793232,3.9735679253629095,1.345650572818468,14.946389976143541
QAM,20.053000063976054,5.950134325890285,3.962995117035138,1.7228960966217757,5.641722946306706,0.8029200895855875,192.6132235361678
PM,13.385825587026247,2.0126939003736477,2.451991099756351,2.4219049576734966,3.2992603910074796,1.236247183698488,61.790401390867004
AM,4.831860127324898,1.5772611064805115,1.5812382214226122,0.3234901722193619,2.9622802037096347,0.31303577302063434,0.5182353682242691
FM,14.542679722190996,3.0972062358763064,2.323382969833466,2.6051913869907075,4.369143095759666,1.1757362224853136,15.552990937680814
OFDM,45.20455719779373,8.382554962431378,7.8863047542006335,1.4118409141472685,5.69773653308599,1.8942937163717388,299.0229868035825
FM,11.242972234855447,3.4617349504072887,2.9075106852315566,2.5436991984969803,3.132992534733555,2.482241298580118,32.978924527196476
FSK,13.279408871774919,3.001003849530627,2.699305696379273,3.6502653533855947,2.779607480182216,1.5063992698844997,20.84396409300443
QAM,23.161965822964945,5.176613351590113,4.73192825366853,1.4519486012990392,5.427564909710652,0.929767211704521,224.67655590546153
AM,5.242828140528753,2.0054407801849585,1.2322126951468173,0.9196596586196548,2.767782442746423,0.31742114444559544,9.06472110964547
PM,10.42849310613409,2.5788203578411064,1.4992236788687263,2.461098273618603,4.0405764111050075,0.6667307599933832,82.71774692240629
AM,4.600383275928964,2.7877851661019153,1.7885972112245307,0.321339903786201,2.6234441355910967,0.1993956559257863,7.43946292572677
QAM,25.698896848713165,5.524917371481381,5.507062547046997,1.3420817487159074,5.642514609344026,0.377442215868645,304.7228250244265
FSK,11.039578720725125,2.5045766949250603,2.3097909556692553,2.9727149639912156,3.11343276562824,2.2034465747777183,5.305076807951113
PM,11.939484444671,2.8568111083689907,1.3776985883604291,1.6913919870078389,3.2723965752021384,1.4084505613336282,65.00350768596724
FSK,9.23596862420483,2.0758592329514522,2.4224253947289816,3.8237048176859294,2.7086742912145927,1.3310329839206525,11.400388296341555
FSK,13.721239089441514,3.364236564967225,2.3476997753838136,3.3933016477537845,3.8837490717659433,2.1194102246074182,8.813476072856535
OFDM,38.48261342604772,8.945776942498892,9.73746805907606,1.9255685129067763,5.901678742808264,0.6698570687611329,354.54283162644043
QAM,21.24662681203267,5.841683765234745,5.479585448248513,1.518838057126072,5.182550871489859,0.5793018927090912,19.71418997593128
OFDM,34.11159616751275,9.15115955485797,8.414886126920557,1.1142673000556877,5.829009168407255,1.7952772109194355,332.26568344745453
8PSK,18.469532018962276,4.4750024962194965,1.5426615290677685,1.224604822939982,3.9524395161326935,0.8408570203797998,315.0
OFDM,39.9673554547896,7.675701798018192,9.6593836042724,1.3623938991166331,6.161176700556087,1.4483964318792957,4.714004371800109
BPSK,6.606215776847688,1.9755413156827561,1.2294944940085064,1.0573053688900478,3.2909480268361007,0.5210418313601952,180.0
AM,3.898787735299431,1.6198738525372218,1.397318115457598,0.5414311242693995,3.599564044148539,0.23975479961973323,4.682318284413793
AM,3.1096490035442845,1.9441338902199985,1.5648411332626164,0.2525669115426819,3.551055233390021,0.28131553389921105,5.243902693275801
AM,4.202289182625978,2.1192806626164358,1.1552402459307125,0.3455425043962169,3.7235712420270346,0.47844618485345314,3.7330931627975295
PM,11.439995432390157,2.5218354277452413,1.0380795334905173,1.3123051947323807,4.073958343271096,1.1589239419101514,31.62575955020901
8PSK,17.538885640433044,3.3922261993869056,1.6066094549272405,1.5950489797004206,3.839271245896191,1.2694435177635004,90.0
AM,4.670164754350099,2.441626192621013,1.805314967357905,0.9909830255643544,3.206394804353959,0.42274005958503447,9.626493185548746
QAM,26.68085136570646,4.409968590831642,3.172590921044053,1.8963358185211199,4.026003847021472,0.35985597159812766,74.83905185256984
PM,6.227768896627085,3.6911101896882346,1.96438834542138,2.407892270277019,4.365936005310456,1.124761271043251,50.1519514289901
FM,13.630592121950905,2.0684562216410582,2.745981759847875,3.0355764346438265,4.547669046402681,1.7255157893318909,44.442720798988866
PM,14.484533069621566,3.409014485399402,1.2101697636496789,2.7369359517958256,3.7311467973742705,1.3945522268940915,77.99131535683891
AM,4.454335101451038,2.024915311763843,1.7416869442286655,0.7590766825287236,2.805100087193961,0.1872092429976346,6.450541677693295
QAM,21.322762111253304,5.801144602472771,4.764887430438618,1.6831838564454813,5.645167751823347,0.6707631750585568,293.4195942248846
OFDM,35.48110441374412,8.216712010063173,8.605681553407457,1.8297418037072015,5.412842543521206,0.5164937429877208,49.27882682477062
OFDM,35.32996786741764,8.928738313836249,7.002922642246391,1.6330980633574477,5.988547700276543,1.359941567269101,301.71850674418647
BPSK,5.681969697746482,1.5189177052828375,1.0234829833875274,0.6662833687560794,3.1070504246395556,0.2496792007550759,180.0
PM,7.4534910968132095,2.4732390351049416,1.4330406051560498,1.7113454329298983,4.078568857776368,0.797121715623175,63.98427841781383
FM,13.966493730520543,3.9081738730792663,1.7025019161318105,3.4512648257972383,3.53982244478439,2.079685557816387,16.480555115663385
QAM,20.514258134842503,4.992732494402473,4.387371395667557,1.334243890816961,5.541824407491644,0.37461877719364023,27.049601424891154
AM,4.238380651820257,2.409851099377906,1.5982860582681546,0.5677452102089049,2.151866820739244,0.13110613763158285,0.023393906257782593
PM,7.721451372299627,2.9755766671727177,1.5414608454100402,1.1831641466532683,4.375970363193364,0.6368186309189614,87.01424122924814
8PSK,20.213006674135695,3.173410423724367,2.1498049516047164,1.7583924139456815,4.138949385334262,1.4590358455388497,180.0
QPSK,16.37231579789487,3.9611536003599763,1.9033638126360248,1.6466649191171634,3.693175211456925,0.55159580665871,90.0
8PSK,24.99353499565835,4.1116131628743595,1.5678521416976001,1.3128548565055875,3.6205225787864643,1.4310236714582816,90.0
FSK,14.710582451653679,3.388532978226868,2.2113213249861956,3.7240853019786266,3.7668240978026057,1.6148306152162322,25.722886853766934
AM,4.950502051329685,1.7293944989146117,1.560677194003514,0.5848495070752692,3.769996713046562,0.3121060530539601,4.410321617481616
8PSK,15.653563407989424,3.6305806756612204,1.6473895508504048,1.7907231648389637,3.81875250293207,1.325891376437009,315.0
FM,10.24400781556538,3.7401977478018598,1.5319041162755807,4.624105018052598,4.057874268054424,2.878135397025792,41.951329430946615
8PSK,15.09485433628498,3.105367671954457,1.1062520927363417,1.037596773206261,3.9797813268565045,1.2807572072273277,135.0
OFDM,45.36546827729036,7.6710671286693355,7.68542800910828,1.7375823015888914,5.477554291536604,0.665711169697092,127.66397675067955
FM,12.9630812045599,2.46721550209982,1.5631397844545427,2.053621804200241,4.975444779472063,1.8555462674717247,25.373065886387266
FSK,6.244375572968563,3.4128313951188503,2.696983983215075,2.5179653032036273,3.382831343459868,2.4770296696041063,27.104974453287575
FSK,9.674015112498697,2.7268227784214156,1.7505509191381128,3.982337252273953,2.847507552075165,2.425551306375663,21.241166224809213
BPSK,8.814497624254372,1.1203387620349958,1.0234726785739066,0.8840906114912496,2.0550979061399204,0.7743621577899955,180.0
QPSK,18.00769687129875,3.259555845992306,1.2163240230365535,1.518260366676392,3.597274072430341,1.0250315008602682,180.0
PM,12.582384757040913,3.2400515451344805,1.2308438595097826,2.6316662499812358,3.3366608577549908,0.7238176148226231,62.218465373604815
OFDM,47.8984288245568,9.440507265671695,7.829728391094829,1.3911697660803797,5.54591874971263,1.2150152424955527,15.975598871965238
FM,18.621276172654504,3.6190321494497564,2.4828629709585326,3.6525721118274177,3.1739735198228205,1.8169064261413974,24.90754068049256
FSK,11.957142928497502,1.5975671633463462,2.298903779101143,3.9242439451840996,2.664203290081681,2.362823910258488,29.786883378626204
FM,14.951465270139742,2.961173154653296,2.3886116769892762,4.474042897775448,3.695618415804386,2.356032305118127,32.62927855983165
AM,5.635889959065474,2.594852043213856,1.6584518346584254,0.8804653832753935,3.7345884019196047,0.3833451906860139,8.37013328363672
OFDM,48.601807010194776,6.423336375314336,8.795962952158352,1.1892215397850059,6.7632742655407005,1.9419729322773611,167.5692031571941
8PSK,15.051451707547148,4.6398938348162,1.2743501938299082,1.9087013092693679,3.5011201114801094,1.2561817350397568,180.0
8PSK,16.93132864587293,3.1681964489359693,1.3917202918039515,1.5598443123088295,3.6158438567802578,1.0766953619867987,315.0
FSK,13.186794204998417,1.7568974361863827,1.9250144223983723,2.0368554374764347,3.1483611758387684,2.292157953563584,14.803780286129914
BPSK,3.717568095934755,1.9372284872364511,1.3439428611504067,0.5678370591051719,2.4514453504202245,0.624903253187169,180.0
AM,4.74651138052882,1.6917661139059135,1.620915517767477,0.2365936270500103,3.7430736123047526,0.4893955876709588,9.688778552856915
QAM,26.475736434019076,5.18879171845709,3.534449041622487,1.065626144574013,5.6430258948148815,0.5602834704671071,294.7628316085537
8PSK,19.459027063767483,3.547253332563332,2.1965494001892534,1.4261813022359728,3.9513870243296756,0.8636238211916691,270.0
QAM,28.39947164672472,5.545645560033609,2.9202147321257357,1.131335126409378,5.7361086450645855,0.9742656574080923,11.268832949105846
BPSK,9.36667157663473,1.8573600920924986,1.4822602361351043,1.2600940784380972,2.6634481435713653,0.3871711942970783,180.0
QPSK,12.299546058910861,2.4262094080501666,1.0311340828845115,1.651666825375885,3.368526343723761,1.3643582498396372,270.0
FSK,6.592457382792645,1.9074024985525484,1.6367467356092875,2.307316076322225,3.180540451907924,1.8894607118467328,5.446547311957985
BPSK,9.382852244719377,1.9675112636137777,1.0927294373383272,0.9620972907656606,2.0018477527496388,0.5589963590734562,180.0
QAM,24.303058948994625,4.401049453400674,3.9663781869657475,1.0642089370751342,5.163942803828798,0.4882953831045683,287.1212762293877
AM,3.034861619724302,1.1448937755891178,1.3924935564066847,0.5839510677736988,3.2000410962386074,0.2166650314837213,6.949818861265426
AM,5.857945914116151,2.8156373059692803,1.724285308126412,0.7993293112810265,2.291844148070291,0.1411169617970663,5.709045018441643
QPSK,16.18155734318119,3.404929941088208,1.559648683486914,1.0097708474191838,3.3264613082439918,1.0177116433847115,0.0
OFDM,37.01253862418361,6.132812435165466,6.314313988620083,1.396923276201596,5.26543150808612,1.3513112723923373,248.20738888941565
FM,18.214407280098662,2.082366990558543,2.5055781875316185,4.854649923065981,3.248439933456119,2.7924426053700766,33.79106549507745
OFDM,31.03942567302945,8.165185341204282,8.836242077803666,1.8709691237460855,6.428173864264855,1.7025921246046878,122.20206931541018
8PSK,21.608201182992506,4.106002905183917,1.7169710351583163,1.783832553418862,3.980903831448985,0.7407541060924727,135.0
FM,10.603520839905638,2.494206468020293,1.7393170201697825,4.615350699776605,3.4384279747160886,2.951730511638263,23.475831670844272
FSK,13.718327789731212,2.3673106679127778,1.5654924865610418,2.323345088293605,2.531291708937307,2.049241925008529,13.307865633877723
FSK,14.747931621467831,2.8006513726938738,1.7993136763937176,3.3604564848625826,2.6082976134687637,1.2398482528675479,11.442072212780342
AM,5.6048175162251415,2.454338139532616,1.742706521199981,0.5403946675584603,2.691869985093926,0.2484155051938411,9.876495637360579
FSK,10.433005233632883,2.5279917356174497,2.3820875671351187,2.0587888915130144,3.0932727547735226,1.9880453276295231,19.943089131396608
QAM,24.217209268734553,4.553655594470103,4.369401314373449,1.9123633456166909,4.421324378011333,0.7360766084944379,227.3616792333074
AM,3.3947030553817794,2.431649929364177,1.909032520665641,0.3437464870961936,2.4750866498477553,0.48855803761665584,1.8097695270948977
BPSK,3.483929503306336,1.4371653888168265,1.048696696276776,0.9050207990803215,2.8893775997476725,0.5476489396061005,180.0
FM,10.952615079546263,3.3042464910608755,1.9682220850446706,3.1971378384113334,4.715972507845412,1.0180608082591005,33.53650533362422
FSK,8.966597763435619,1.9740557142166724,1.8520110573923265,3.7674193393215054,3.1630365606742865,1.6301561718859234,16.219439345785077
OFDM,38.617750473236114,6.99485709035052,8.46857994641612,1.7067772168854458,5.3340838158018995,0.7514288244324765,13.201713696075469
BPSK,5.4971243712800115,1.5335119252996956,1.3908951649225147,1.2053855941122036,2.6695529697688785,0.7185297066045013,180.0
QAM,22.697496115169898,4.11417371217863,4.124678112004128,1.9366056922949615,4.078687081337019,0.38547693980701875,162.7916501820367
BPSK,3.61988908956269,1.1033089571240158,1.2923353502212944,1.1882078658665955,2.5960684826966016,0.487938248955244,0.0
FM,13.231306570702785,3.946195496140693,2.370168344543202,2.7626737396924796,4.043460093272426,1.6853069762418307,31.289799553051964
8PSK,15.29973589872678,3.615859883182382,1.8456169152839763,1.2018534521229483,4.173432433324917,1.6699120461072705,0.0
8PSK,21.726021182251262,3.887500438609142,2.0417707052530067,1.177149789447386,4.192625952226164,1.5381152896481103,45.0
FM,12.441472904223742,3.661754382683411,2.796913253932555,4.305558093571374,3.226219638153146,2.5910207433928063,46.747111879740174
AM,3.6470254571931515,2.3177709404653144,1.3938644056541585,0.7209863816331936,2.2131860606159814,0.3631381218412144,9.994137257706665
QPSK,13.181115536181196,3.732877335055291,1.9933369373586285,1.7524277626155724,3.0904816952870506,0.7886855955306381,180.0
QAM,26.505116477917156,5.5303817291115696,5.702699323522847,1.4381723464119878,5.802751299176888,0.9145238113289291,114.1904580355435
AM,3.360627166111825,2.0889781959216993,1.0057586604981217,0.45966866392021627,2.732923069742796,0.25846907664370217,6.954672066898622
OFDM,41.92970949970843,8.182747553981894,7.777677811004806,1.014667057046264,6.174123415402302,0.7526665777140795,231.32734882098825
FM,14.634940438005724,2.7595715603584594,2.795000474357738,3.557245355408654,3.958363755259462,1.0512841316128714,23.649913105046252
BPSK,5.791759466278304,1.5801723692273324,1.2668012733634393,1.1079050927934446,3.1473248923131925,0.6877914432296561,180.0
BPSK,4.370445899784823,1.007562874978142,1.3237373570773014,1.398030548949987,2.3652234448644487,0.7562207268777841,0.0
QAM,29.34436026805514,4.703245374479269,2.405683313796866,1.4858717591863257,4.513553135441016,0.49941103137334597,110.62438737346316
PM,10.809320532627977,1.7240658478873554,2.0764536788629444,1.7998104136083124,4.465087857993868,1.3231740155956602,61.3488624309671
8PSK,21.811178539649827,3.362876695391254,1.6301960604004724,1.7090462617224327,3.606876923094744,1.2673122196289035,45.0
FSK,14.629268752375799,2.4670912934398492,2.708988824662737,3.1004530843125235,2.565118799282229,2.023096788272229,28.785083555166427
8PSK,21.379852057932975,4.0303503406674634,1.7122462829477767,1.7937438503805163,4.14660591342286,0.8747734428273771,0.0
FSK,12.69944700251679,2.6132741158734345,1.8834674967139085,2.60412100366959,3.597937101378452,2.306526539108602,21.78561673826536
OFDM,31.910706276693364,8.495437298706292,7.8070707149489165,1.586608463175474,5.336028415489727,1.6053106174162732,310.6069479155623
8PSK,20.35358101842661,3.3568919304555442,1.3747261432585554,1.23024616842787,3.706186164518426,1.33796079331597,0.0
OFDM,39.935337177183385,9.95114208085955,6.5457590102269325,1.6951445540475938,5.808637536208584,1.1422994223884222,258.33519563694347
AM,3.047463275296747,1.682180048948441,1.8187070571192328,0.6825755281706978,2.6744542655108408,0.4622099169318695,7.726227274493826
QAM,20.856582495964304,5.788381749328236,2.7674692988749716,1.3233715621155206,4.453312804453976,0.5484974140823561,24.992583388593612
AM,5.495589339754266,2.3392052322679238,1.0699316057094341,0.7121345790625329,2.54229487300037,0.3371247966613691,6.801319311034514
PM,6.903248628190678,1.6308471894662708,1.5677146352288036,1.725888543691984,4.493220736056386,0.9463523511976422,50.014172968332026
QPSK,15.622968158779099,3.9152505690107606,1.1753029423576598,1.6900048908206657,3.2009336886590565,1.0358276844730812,90.0
OFDM,46.436128878021734,6.004946719037638,7.20341243341302,1.981236374344304,5.949773087012437,1.0737894203660123,43.138440726352684
PM,6.524160133304174,3.981208755395938,2.390501451886443,2.079914260561119,4.263049941564632,1.020957977272042,67.41514128016559
FM,17.87901988292265,3.7293723840670805,2.4127296189896867,3.520515295461448,3.318608041237961,1.1262180661583003,14.705961138942346
8PSK,17.63112569910843,3.720272814943038,1.1051712961166062,1.936957823031063,4.053802240712376,1.0055243106580236,135.0
8PSK,24.42387019102233,4.746673323447696,1.1941170536225316,1.7862759567570945,4.074587382317767,1.2665753621714186,135.0
AM,3.3490991936564285,2.634899416982383,1.38062329347658,0.9023794563560557,3.736113380214901,0.4223701600470485,7.900304363070614
QAM,28.1873500407427,4.645055955692831,2.091575299904481,1.153791149668031,4.447228868992623,0.9701260215262111,206.29491441510575
OFDM,41.5032670099325,7.917417760551407,7.254910764776384,1.6063709444333756,5.2783960492350595,1.847392440939059,298.55966585086213
QAM,25.025660764634424,4.797326055544627,2.5854959686489964,1.3675344222915315,4.136344618770988,0.31806833486464087,48.6598640957362
QAM,20.799653943593018,5.553447260943385,2.48814020849758,1.5942907505617747,5.872898347767321,0.9132736348186297,99.99094454973401
QPSK,10.003325061204894,2.0353756192265147,1.602553163842865,1.3647982191445296,3.3864608411591473,1.0644410906788826,90.0
OFDM,31.163275910109515,9.979465268679068,6.2311222439854665,1.6950352288585533,6.967357850526827,0.8587701563238884,51.20977272739062
OFDM,45.65392081488298,7.061549636752778,6.711065551404992,1.6916180555693194,6.236103348574372,1.4497844390201962,82.4020577447809
